!CSV A.01.01
!Keysight Technologies,E5080A,MY55100348,A.12.55.09
!Date: Tuesday, April 23, 2019 16:32:23
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG)
450095000,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498,0.96152031,17.920498
495094500,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865,0.95784813,-125.06865
540094000,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098,0.95339042,93.211098
585093500,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913,0.95771664,-48.539913
630093000,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433,0.9504813,168.48433
675092500,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344,0.95198792,27.596344
720092000,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963,0.95125788,-115.18963
765091500,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256,0.94393593,102.46256
810091000,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481,0.95173728,-38.736481
855090500,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465,0.94207507,178.01465
900090000,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876,0.94461387,36.635876
945089500,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429,0.94579774,-105.54429
990089000,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586,0.93574154,111.81586
1035088500,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021,0.94599867,-29.35021
1080088000,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449,0.93358129,-172.50449
1125087500,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197,0.9391402,46.253197
1170087000,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259,0.93784499,-95.986259
1215086500,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148,0.93006182,121.39148
1260086000,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719,0.93925124,-19.709719
1305085500,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921,0.9276374,-163.35921
1350085000,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998,0.93363035,55.739998
1395084500,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529,0.93167353,-86.357529
1440084000,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187,0.92512119,130.46187
1485083500,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389,0.93245947,-9.7007389
1530083000,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267,0.92331547,-153.4267
1575082500,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295,0.92619461,65.240295
1620082000,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449,0.92641628,-75.988449
1665081500,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517,0.91963774,140.08517
1710081000,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507,0.92533159,0.00015345507
1755080500,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719,0.92007238,-143.05719
1800080000,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794,0.91829288,74.540794
1845079500,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702,0.92269993,-66.277702
